throughput,frame_nr,pkt_nr,n_elements
8,259,39849,128
8,259,39888,12
8,260,39964,128
8,260,40003,128
8,260,40042,12
8,261,40118,128
8,261,40157,128
8,261,40195,8
8,262,40272,128
8,262,40310,128
8,262,40349,10
8,263,40425,128
8,263,40464,128
8,263,40503,10
8,264,40579,128
8,264,40618,128
8,264,40657,5
8,265,40733,128
8,265,40772,128
8,265,40810,4
8,266,40887,128
8,266,40925,128
8,266,40964,9
8,267,41040,128
8,267,41079,128
8,267,41118,14
8,268,41194,128
8,268,41233,128
8,268,41271,13
8,269,41348,128
8,269,41386,128
8,269,41425,13
8,270,41501,128
8,270,41540,128
8,270,41579,14
8,271,41655,128
8,271,41694,128
8,271,41733,12
8,272,41809,128
8,272,41848,128
8,272,41886,8
8,273,41962,128
8,273,42001,128
8,273,42040,11
8,274,42116,128
8,274,42155,128
8,274,42194,9
8,275,42270,128
8,275,42309,128
8,275,42347,13
8,276,42424,128
8,276,42462,128
8,276,42501,10
8,277,42577,128
8,277,42616,128
8,277,42655,7
8,278,42731,128
8,278,42770,128
8,278,42808,9
8,279,42885,128
8,279,42923,128
8,279,42962,12
8,280,43038,128
8,280,43077,128
8,280,43116,7
8,281,43192,128
8,281,43231,128
8,281,43269,13
8,282,43346,128
8,282,43385,128
8,282,43423,13
8,283,43500,128
8,283,43538,128
8,283,43577,6
8,284,43653,128
8,284,43692,128
8,284,43731,9
8,285,43807,128
8,285,43846,128
8,285,43884,13
8,286,43961,128
8,286,43999,128
8,286,44038,6
8,287,44114,128
8,287,44153,128
8,287,44192,12
8,288,44268,128
8,288,44307,128
8,288,44346,12
8,289,44422,128
8,289,44461,128
8,289,44499,13
8,290,44576,128
8,290,44614,128
8,290,44653,11
8,291,44729,128
8,291,44768,128
8,291,44807,9
8,292,44883,128
8,292,44922,128
8,292,44960,12
8,293,45037,128
8,293,45075,128
8,293,45114,8
8,294,45190,128
8,294,45229,128
8,294,45268,8
8,295,45344,128
8,295,45383,128
8,295,45421,8
8,296,45498,128
8,296,45536,128
8,296,45575,13
8,297,45651,128
8,297,45690,128
8,297,45729,11
8,298,45805,128
8,298,45844,128
8,298,45882,8
8,299,45959,128
8,299,45998,128
8,299,46036,14
8,300,46112,128
8,300,46151,128
8,300,46190,10
8,301,46266,128
8,301,46305,128
8,301,46344,7
8,302,46420,128
8,302,46459,128
8,302,46498,15
8,303,46574,128
8,303,46613,128
8,303,46651,8
8,304,46727,128
8,304,46766,128
8,304,46805,8
8,305,46881,128
8,305,46920,128
8,305,46958,6
8,306,47035,128
8,306,47073,128
8,306,47112,10
8,307,47188,128
8,307,47227,128
8,307,47266,11
8,308,47342,128
8,308,47381,128
8,308,47419,8
8,309,47496,128
8,309,47534,128
8,309,47573,10
8,310,47649,128
8,310,47688,128
8,310,47727,7
8,311,47803,128
8,311,47842,128
8,311,47881,5
8,312,47957,128
8,312,47996,128
8,312,48034,11
8,313,48111,128
8,313,48149,128
8,313,48188,13
8,314,48264,128
8,314,48303,128
8,314,48342,8
8,315,48418,128
8,315,48457,128
8,315,48496,13
8,316,48572,128
8,316,48611,128
8,316,48649,12
8,317,48726,128
8,317,48764,128
8,317,48803,7
8,318,48879,128
8,318,48918,128
8,318,48957,5
8,319,49033,128
8,319,49072,128
8,319,49110,4
8,320,49186,128
8,320,49225,128
8,320,49264,9
8,321,49340,128
8,321,49379,128
8,321,49418,10
8,322,49494,128
8,322,49533,128
8,322,49571,11
8,323,49648,128
8,323,49687,128
8,323,49725,5
8,324,49802,128
8,324,49840,128
8,324,49879,4
8,325,49955,128
8,325,49994,128
8,325,50033,11
8,326,50109,128
8,326,50148,128
8,326,50186,17
8,327,50263,128
8,327,50301,128
8,327,50340,10
8,328,50416,128
8,328,50455,128
8,328,50494,17
8,329,50570,128
8,329,50609,128
8,329,50647,14
8,330,50724,128
8,330,50762,128
8,330,50801,5
8,331,50877,128
8,331,50916,128
8,331,50955,12
8,332,51031,128
8,332,51070,128
8,332,51108,12
8,333,51185,128
8,333,51224,128
8,333,51262,7
8,334,51338,128
8,334,51377,128
8,334,51416,9
8,335,51492,128
8,335,51531,128
8,335,51570,11
8,336,51646,128
8,336,51685,128
8,336,51723,21
8,337,51800,128
8,337,51838,128
8,337,51877,9
8,338,51953,128
8,338,51992,128
8,338,52031,12
8,339,52107,128
8,339,52146,128
8,339,52184,14
8,340,52261,128
8,340,52299,128
8,340,52338,11
8,341,52414,128
8,341,52453,128
8,341,52492,7
8,342,52568,128
8,342,52607,128
8,342,52645,11
8,343,52722,128
8,343,52761,128
8,343,52799,10
8,344,52876,128
8,344,52914,128
8,344,52953,13
8,345,53029,128
8,345,53068,128
8,345,53107,6
8,346,53183,128
8,346,53222,128
8,346,53260,10
8,347,53337,128
8,347,53375,128
8,347,53414,8
8,348,53490,128
8,348,53529,128
8,348,53568,7
8,349,53644,128
8,349,53683,128
8,349,53722,9
8,350,53798,128
8,350,53837,128
8,350,53875,12
8,351,53951,128
8,351,53990,128
8,351,54029,8
8,352,54105,128
8,352,54144,128
8,352,54182,11
8,353,54259,128
8,353,54297,128
8,353,54336,15
8,354,54412,128
8,354,54451,128
8,354,54490,11
8,355,54566,128
8,355,54605,128
8,355,54644,11
8,356,54720,128
8,356,54759,128
8,356,54797,14
8,357,54874,128
8,357,54912,128
8,357,54951,8
8,358,55027,128
8,358,55066,128
8,358,55105,12
8,359,55181,128
8,359,55220,128
8,359,55258,5
8,360,55335,128
8,360,55374,128
8,360,55412,16
8,361,55488,128
8,361,55527,128
8,361,55566,15
8,362,55642,128
8,362,55681,128
8,362,55720,6
8,363,55796,128
8,363,55834,128
8,363,55873,8
8,364,55949,128
8,364,55988,128
8,364,56027,13
8,365,56103,128
8,365,56142,128
8,365,56180,13
8,366,56257,128
8,366,56296,128
8,366,56334,14
8,367,56410,128
8,367,56449,128
8,367,56488,9
8,368,56564,128
8,368,56603,128
8,368,56642,12
8,369,56718,128
8,369,56757,128
8,369,56796,10
8,370,56872,128
8,370,56911,128
8,370,56949,11
8,371,57026,128
8,371,57064,128
8,371,57103,8
8,372,57179,128
8,372,57218,128
